objective_id|book|exercise_id|problem_path|direct_basis|orthogonal_objectives|review_status
L01.MACRO|Lewis|1.3|books/Lewis/chapter_1_problem_3.md|Completes nuclear reactions by conserving A and Z||draft_curated
L01.MACRO|DHNRA|2.1|books/DHNRA/chapter_2_problem_1.md|Infers reactants needed to form a compound nucleus||draft_curated
L01.MACRO|Lamarsh|1.11|books/Lamarsh/chapter_1_problem_11.md|Completes reactions and computes Q values from masses|ORTHO_MATERIALS_DATA_LOOKUP|draft_curated
L01.MACRO|Lamarsh|2.29|books/Lamarsh/chapter_2_problem_29.md|Uses reaction mass balances and Q values to compute thresholds|ORTHO_NEUTRON_KINEMATICS_CM_LAB;ORTHO_MATERIALS_DATA_LOOKUP|draft_curated
L01.M01|Lewis|1.6|books/Lewis/chapter_1_problem_6.md|Compares mass-energy conversion for fission and chemical combustion|ORTHO_UNIT_CONVERSIONS|draft_curated
L01.M01|Lamarsh|3.11|books/Lamarsh/chapter_3_problem_11.md|Converts fission energy per event into fuel consumed for useful work|ORTHO_REACTOR_POWER_CONVERSION;ORTHO_UNIT_CONVERSIONS|draft_curated
L01.M01|Lamarsh|3.12|books/Lamarsh/chapter_3_problem_12.md|Derives energy released per metric ton of fuel consumed|ORTHO_FUEL_CYCLE_BURNUP;ORTHO_REACTOR_POWER_CONVERSION;ORTHO_UNIT_CONVERSIONS|draft_curated
L01.M02|Lewis|1.5|books/Lewis/chapter_1_problem_5.md|Compares relativistic and nonrelativistic kinetic energy for a fission neutron||draft_curated
L01.M02|Lamarsh|1.6|books/Lamarsh/chapter_1_problem_6.md|Derives neutron speed from kinetic energy using the classical low-energy limit||draft_curated
L01.M03|Lewis|1.1|books/Lewis/chapter_1_problem_1.md|Asks for element symbols and names from isotope notation||draft_curated
L01.M03|Lewis|1.2|books/Lewis/chapter_1_problem_2.md|Requires interpreting A and Z notation to complete decay reactions||draft_curated
L01.M03|Lewis|1.3|books/Lewis/chapter_1_problem_3.md|Requires interpreting A and Z notation to complete reactions||draft_curated
L01.M03|Lewis|1.4|books/Lewis/chapter_1_problem_4.md|Uses projectile and compound-nucleus notation to identify target isotopes||draft_curated
L01.M03|Lewis|1.7|books/Lewis/chapter_1_problem_7.md|Tracks isotope identity after neutron capture and beta decay||draft_curated
L01.M03|DHNRA|2.1|books/DHNRA/chapter_2_problem_1.md|Uses A and Z notation to identify target isotopes||draft_curated
L01.M03|Lamarsh|1.11|books/Lamarsh/chapter_1_problem_11.md|Uses nuclide and reaction notation throughout reaction completion||draft_curated
L01.M04|Lewis|1.3|books/Lewis/chapter_1_problem_3.md|Completes binary nuclear reactions written with projectiles and products||draft_curated
L01.M04|Lewis|1.4|books/Lewis/chapter_1_problem_4.md|Identifies targets for projectile-induced compound-nucleus formation||draft_curated
L01.M04|Lewis|1.12|books/Lewis/chapter_1_problem_12.md|Connects alpha decay to a Be alpha-n neutron source reaction|ORTHO_UNIT_CONVERSIONS|draft_curated
L01.M04|DHNRA|2.1|books/DHNRA/chapter_2_problem_1.md|Identifies target isotopes for neutron proton and alpha projectiles||draft_curated
L01.M04|Lamarsh|1.11|books/Lamarsh/chapter_1_problem_11.md|Completes several A(B,C)D-style reactions|ORTHO_MATERIALS_DATA_LOOKUP|draft_curated
L01.M04|Lamarsh|1.15|books/Lamarsh/chapter_1_problem_15.md|Uses a deuteron-induced sodium activation reaction|ORTHO_UNIT_CONVERSIONS|draft_curated
L01.M04|Lamarsh|2.13|books/Lamarsh/chapter_2_problem_13.md|Analyzes the H3(d,n)He4 binary reaction|ORTHO_NEUTRON_KINEMATICS_CM_LAB|draft_curated
L01.M04|Lamarsh|2.15|books/Lamarsh/chapter_2_problem_15.md|Uses the B10(d,p)B11 reaction to infer excited-state energies|ORTHO_RESONANCE_NUCLEAR_STRUCTURE;ORTHO_MATERIALS_DATA_LOOKUP|draft_curated
L01.M04|Lamarsh|2.16|books/Lamarsh/chapter_2_problem_16.md|Uses Li7(n,2n) and related reaction thresholds|ORTHO_RESONANCE_NUCLEAR_STRUCTURE;ORTHO_MATERIALS_DATA_LOOKUP|draft_curated
L01.M04|Lamarsh|2.29|books/Lamarsh/chapter_2_problem_29.md|Lists multiple threshold reactions in compact reaction notation|ORTHO_NEUTRON_KINEMATICS_CM_LAB;ORTHO_MATERIALS_DATA_LOOKUP|draft_curated
L01.M05|Lamarsh|1.11|books/Lamarsh/chapter_1_problem_11.md|Directly asks for Q values of completed reactions|ORTHO_MATERIALS_DATA_LOOKUP|draft_curated
L01.M05|Lamarsh|2.10|books/Lamarsh/chapter_2_problem_10.md|Interprets Q value as kinetic-energy difference in another frame|ORTHO_NEUTRON_KINEMATICS_CM_LAB|draft_curated
L01.M05|Lamarsh|2.13|books/Lamarsh/chapter_2_problem_13.md|Computes emergent neutron energies using the reaction Q value|ORTHO_NEUTRON_KINEMATICS_CM_LAB;ORTHO_MATERIALS_DATA_LOOKUP|draft_curated
L01.M05|Lamarsh|2.15|books/Lamarsh/chapter_2_problem_15.md|Uses a given reaction Q value to place compound-nucleus levels|ORTHO_RESONANCE_NUCLEAR_STRUCTURE|draft_curated
L01.M05|Lamarsh|2.16|books/Lamarsh/chapter_2_problem_16.md|Uses threshold and binding energy information tied to reaction Q values|ORTHO_RESONANCE_NUCLEAR_STRUCTURE;ORTHO_MATERIALS_DATA_LOOKUP|draft_curated
L01.M05|Lamarsh|2.29|books/Lamarsh/chapter_2_problem_29.md|Computes Q values and threshold energies from mass tables|ORTHO_NEUTRON_KINEMATICS_CM_LAB;ORTHO_MATERIALS_DATA_LOOKUP|draft_curated
L01.M05|Lamarsh|3.2|books/Lamarsh/chapter_3_problem_2.md|Uses a fission Q value to estimate the critical fission energy|ORTHO_RESONANCE_NUCLEAR_STRUCTURE|draft_curated
L01.M06|Lewis|1.2|books/Lewis/chapter_1_problem_2.md|Completes particle-emission decay reactions||draft_curated
L01.M06|Lewis|1.3|books/Lewis/chapter_1_problem_3.md|Completes a beta-minus decay reaction||draft_curated
L01.M06|Lewis|1.7|books/Lewis/chapter_1_problem_7.md|Tracks beta decay after neutron captures|ORTHO_FUEL_CYCLE_BURNUP|draft_curated
L01.M06|Lewis|1.12|books/Lewis/chapter_1_problem_12.md|Uses Ra-226 alpha decay as part of a neutron-source chain|ORTHO_UNIT_CONVERSIONS|draft_curated
L01.M06|Lewis|1.19|books/Lewis/chapter_1_problem_19.md|Uses Po-210 alpha decay to compute activity and heat|ORTHO_UNIT_CONVERSIONS|draft_curated
L01.M06|DHNRA|2.2|books/DHNRA/chapter_2_problem_2.md|Uses radioactive delayed-neutron emission as an exponential decay process|ORTHO_DELAYED_NEUTRON_KINETICS;ORTHO_REACTOR_POWER_CONVERSION|draft_curated
L01.M06|DHNRA|2.8|books/DHNRA/chapter_2_problem_8.md|Uses free-neutron beta decay as the radioactive process|ORTHO_CROSS_SECTIONS_REACTION_RATES|draft_curated
L01.M06|DHNRA|2.19|books/DHNRA/chapter_2_problem_19.md|Describes beta decay of neutron-rich fission products|ORTHO_FISSION_SPECTRA_DISTRIBUTIONS|draft_curated
L01.M06|Lamarsh|1.13|books/Lamarsh/chapter_1_problem_13.md|Uses post-irradiation radioactive decay of activated indium|ORTHO_UNIT_CONVERSIONS|draft_curated
L01.M06|Lamarsh|1.15|books/Lamarsh/chapter_1_problem_15.md|Uses production and decay of Na-24 after activation|ORTHO_UNIT_CONVERSIONS|draft_curated
L01.M06|Lamarsh|1.17|books/Lamarsh/chapter_1_problem_17.md|Models the radioactive chain A -> B -> C||draft_curated
